use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag,year,water_year,error_id,error_code,error_type,duplicate_set,error_description,comments
4539748,34485,573,97.5,7134.1452,7317.072,720,GA,80,A,36,A,1,2019-03-22,1530,15,M,26,S,24,E,33,S4,15191500339,,,F,3001,0,1518,6431,1,A,15M26S24E33,X,2019,2019,303726,75,POSSIBLE,,"pounds of AI per acre treated is greater than 200, or pounds of product per area treated is greater than 50 times the median rate for this product on this commodity","Reported rate of use = 3,052 pounds AI per acre for 1,3-Dichloropropene; median rate of use in 2019 = 198 pounds AI per acre; rate > fixed2 limit; the values for lbs_prd_used and amt_prd_used were estimated."
3597201,16696,136,42.7,8967,21000,21000,LB,51.9,A,51,A,1,2019-08-05,0700,18,M,29,N,13,E,14,"H-2,3",1819180150A,,,F,1016,0,1802,204,1,B,18M29N13E14,X,2019,2019,237077,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3597203,16696,136,42.7,4304.16,10080,10080,LB,25.1,A,25.1,A,1,2019-08-06,0700,18,M,29,N,13,E,12,Z-5,1819180150A,,,F,1016,0,1802,206,3,B,18M29N13E12,X,2019,2019,237079,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3597202,16696,136,42.7,8915.76,20880,20880,LB,51.9,A,51,A,1,2019-08-16,0700,18,M,29,N,13,E,13,"J-2,3",1819180150A,,,F,1016,0,1802,205,2,B,18M29N13E13,X,2019,2019,237078,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3597204,16696,136,42.7,4.4835,10.5,10.5,LB,.03,A,0.03,A,1,2019-08-22,0700,18,M,29,N,13,E,13,L-2B,1819180150A,,,F,1016,0,1802,207,4,B,18M29N13E13,X,2019,2019,237080,75,POSSIBLE,,"pounds of AI per acre treated is greater than 200, or pounds of product per area treated is greater than 50 times the median rate for this product on this commodity","Reported rate of use = 4,560 pounds AI per acre for Methyl Bromide; median rate of use in 2015 = 199 pounds AI per acre; rate > fixed2 limit; rate > mean + 12*SD; the values for lbs_prd_used and amt_prd_used were estimated."
3597204,16696,136,42.7,4.4835,10.5,10.5,LB,.03,A,0.03,A,1,2019-08-22,0700,18,M,29,N,13,E,13,L-2B,1819180150A,,,F,1016,0,1802,207,4,B,18M29N13E13,X,2019,2019,237081,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3599903,34485,573,97.5,7134.1452,7317.072,720,GA,,,,,1,2019-10-01,,20,,,,,,,,,38554,,,10,0,2003,25,1,C,,X,2019,2020,237107,76,POSSIBLE,,"The pounds of AI per area treated exceeds the fixed1 limit or the mean use rate + 3SD, but does not exceed the fixed2 limit or the mean use rate + 10 SD.","Reported pounds AI per application = 7,134 for 1,3-Dichloropropene; median pounds AI per application in 2015 = 0.8901471; lbs/app > fixed2 limit"
412307,34485,573,97.5,891.76815,914.634,90,GA,10.5,A,10,A,1,2019-04-01,1000,27,M,18,S,07,E,06,09003S,27192700217,,,F,29111,0,2701,3564,1,A,27M18S07E06,X,2019,2019,22910,80,POSSIBLE,1688,record is an erroneous duplicate of another record,
4548539,47813,136,99,136.62,138,138,LB,510,A,138,U,1,2019-11-26,1200,39,M,02,S,08,E,22,1-1,39193901026,,,F,3009,0,3903,3147,1,B,39M02S08E22,X,2019,2020,305028,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4548537,47813,136,99,168.3,170,170,LB,380,A,170,U,1,2019-11-22,1000,39,M,02,S,09,E,13,3-1,39193901026,,,F,3009,0,3903,3145,11,B,39M02S09E13,X,2019,2020,305027,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4550781,12820,136,99,16.902468,17.0732,159,OZ,,,,,1,2019-01-01,,39,,,,,,,,,PR848,,,10,0,3904,553,2,C,,X,2019,2019,305501,76,POSSIBLE,,"The pounds of AI per area treated exceeds the fixed1 limit or the mean use rate + 3SD, but does not exceed the fixed2 limit or the mean use rate + 10 SD.",Reported pounds AI per application = 16.9 for Chloropicrin; median pounds AI per application in 2015 = 0.1945921; lbs/app > mean + 3*SD
4549000,34485,573,97.5,4443.9779475,4557.9261,448.5,GA,53,A,13.39,A,1,2019-11-04,0800,39,M,01,S,07,E,36,1-1,39173901179,,,F,40008,0,3903,4171,1,B,39M01S07E36,X,2019,2020,305092,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4005344,67449,573,19.5,889.3329315,4560.6817,352,GA,17,A,12.3,A,1,2019-10-16,0900,44,M,11,S,03,E,31,1A,4419440068A,,,F,1002,0,4401,1,1,A,44M11S03E31,X,2019,2020,256601,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4588113,34485,573,97.5,2378.0484,2439.024,240,GA,30,A,30,A,1,2019-04-25,1500,44,M,11,S,02,W,20,010024,4419440381A,,,F,13006,0,4402,321,1,A,44M11S02W20,X,2019,2019,310814,47,INCONSISTENT,,area treated is greater than the area planted,
4588175,67449,136,79.8,14981.6060352,18773.9424,1449,GA,48.3,A,48.3,A,1,2019-08-22,0800,44,M,12,S,03,E,06,19A,4419440169A,,,F,1016,0,4402,60,1,A,44M12S03E06,X,2019,2019,310911,47,INCONSISTENT,,area treated is greater than the area planted,
4005345,67450,136,75.8,553.7980594,730.6043,58,GA,17,A,5.6,A,1,2019-10-14,1000,44,M,11,S,03,E,31,1A,4419440068A,,,F,1002,0,4401,2,1,A,44M11S03E31,X,2019,2020,256602,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4005344,67449,136,79.8,3639.4239966,4560.6817,352,GA,17,A,12.3,A,1,2019-10-16,0900,44,M,11,S,03,E,31,1A,4419440068A,,,F,1002,0,4401,1,1,A,44M11S03E31,X,2019,2020,256601,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4588186,67449,136,79.8,14113.1071242,17685.5979,1365,GA,48.3,A,48.3,A,1,2019-10-08,1000,44,M,12,S,03,E,06,2A,4419440068A,,,F,1006,0,4402,73,1,A,44M12S03E06,X,2019,2020,310922,47,INCONSISTENT,,area treated is greater than the area planted,
4588175,67449,573,19.5,3660.918768,18773.9424,1449,GA,48.3,A,48.3,A,1,2019-08-22,0800,44,M,12,S,03,E,06,19A,4419440169A,,,F,1016,0,4402,60,1,A,44M12S03E06,X,2019,2019,310911,47,INCONSISTENT,,area treated is greater than the area planted,
4005345,67450,573,18.5,135.1617955,730.6043,58,GA,17,A,5.6,A,1,2019-10-14,1000,44,M,11,S,03,E,31,1A,4419440068A,,,F,1002,0,4401,2,1,A,44M11S03E31,X,2019,2020,256602,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4588186,67449,573,19.5,3448.6915905,17685.5979,1365,GA,48.3,A,48.3,A,1,2019-10-08,1000,44,M,12,S,03,E,06,2A,4419440068A,,,F,1006,0,4402,73,1,A,44M12S03E06,X,2019,2020,310922,47,INCONSISTENT,,area treated is greater than the area planted,
4592661,16696,136,42.7,4765.32,11160,11160,LB,120,A,31,A,1,2019-07-16,0800,47,M,45,N,02,W,02,TINO W,4719180150A,,,F,40008,0,4709,651,1,B,47M45N02W02,X,2019,2019,312111,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592665,16696,136,42.7,4150.44,9720,9720,LB,120,A,27,A,1,2019-07-24,0800,47,M,45,N,02,W,02,TINO W,4719180150A,,,F,40008,0,4709,655,5,B,47M45N02W02,X,2019,2019,312115,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592667,16696,136,42.7,5533.92,12960,12960,LB,42,A,36,A,1,2019-07-29,0800,47,M,45,N,02,W,02,DAIRYNW,4719180150A,,,F,40008,0,4709,657,2,B,47M45N02W02,X,2019,2019,312117,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592672,16696,136,42.7,768.6,1800,1800,LB,86,A,5,A,1,2019-07-17,0800,47,M,45,N,02,W,10,AMIGOS,4719180150A,,,F,40008,0,4709,662,1,B,47M45N02W10,X,2019,2019,312122,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592676,16696,136,42.7,2152.08,5040,5040,LB,86,A,14,A,1,2019-07-30,0800,47,M,45,N,02,W,10,AMIGOS,4719180150A,,,F,40008,0,4709,666,5,B,47M45N02W10,X,2019,2019,312126,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592666,16709,136,43,5108.4,11880,11880,LB,42,A,33,A,1,2019-07-26,0800,47,M,45,N,02,W,02,DAIRYNW,4719180150A,,,F,40008,0,4709,656,1,B,47M45N02W02,X,2019,2019,312116,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4593236,63849,136,32.8,4747.8,14475,14475,LB,81,A,39.9,A,1,2019-08-21,0600,47,M,46,N,01,W,30,LCN-02,47194500008,,,F,40008,0,4708,792,1,A,47M46N01W30,X,2019,2019,312193,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592664,16696,136,42.7,3535.56,8280,8280,LB,120,A,23,A,1,2019-07-22,0800,47,M,45,N,02,W,02,TINO W,4719180150A,,,F,40008,0,4709,654,4,B,47M45N02W02,X,2019,2019,312114,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592819,16702,136,54.7,4332.24,7920,7920,LB,105,A,17.9,A,1,2019-09-05,0800,47,M,48,N,04,E,18,41884255,4719180150A,,,F,40008,0,4709,802,3,B,47M48N04E18,X,2019,2019,312153,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592820,16702,136,54.7,4233.78,7740,7740,LB,105,A,17,A,1,2019-09-04,0800,47,M,48,N,04,E,18,41884255,4719180150A,,,F,40008,0,4709,803,4,B,47M48N04E18,X,2019,2019,312154,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592663,16696,136,42.7,3689.28,8640,8640,LB,120,A,24,A,1,2019-07-19,0800,47,M,45,N,02,W,02,TINO W,4719180150A,,,F,40008,0,4709,653,3,B,47M45N02W02,X,2019,2019,312113,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592860,16702,136,54.7,984.6,1800,1800,LB,42,A,5,A,1,2019-08-02,0800,47,M,45,N,02,W,02,DAIRYNW,4719180150A,,,F,40008,0,4709,850,2,B,47M45N02W02,X,2019,2019,312163,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592677,16696,136,42.7,230.58,540,540,LB,86,A,1.5,A,1,2019-07-30,0800,47,M,45,N,02,W,10,AMIGOS,4719180150A,,,F,40008,0,4709,667,6,B,47M45N02W10,X,2019,2019,312127,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4593237,63849,136,32.8,3706.7786432,11301.1544,810.2976,GA,71,A,38.8,A,1,2019-09-04,0600,47,M,46,N,01,W,19,CRO-3,47194500008,,,F,40008,0,4708,793,1,A,47M46N01W19,X,2019,2019,312194,75,POSSIBLE,,"pounds of AI per acre treated is greater than 200, or pounds of product per area treated is greater than 50 times the median rate for this product on this commodity","Reported rate of use = 3,311 pounds AI per acre for Methyl Bromide; median rate of use in 2019 = 195 pounds AI per acre; rate > fixed2 limit; rate > mean + 7*SD; the values for lbs_prd_used and amt_prd_used were estimated."
4593238,63849,136,32.8,152.856856,466.027,33.4143,GA,2,A,1.6,A,1,2019-09-05,0700,47,M,46,N,01,W,30,LCN-12A,47194500008,,,F,40008,0,4708,794,1,A,47M46N01W30,X,2019,2019,312195,75,POSSIBLE,,"pounds of AI per acre treated is greater than 200, or pounds of product per area treated is greater than 50 times the median rate for this product on this commodity","Reported rate of use = 3,469 pounds AI per acre for Methyl Bromide; median rate of use in 2019 = 195 pounds AI per acre; rate > fixed2 limit; rate > mean + 7*SD; the values for lbs_prd_used and amt_prd_used were estimated."
4592662,16696,136,42.7,1383.48,3240,3240,LB,120,A,9,A,1,2019-07-17,0800,47,M,45,N,02,W,02,TINO W,4719180150A,,,F,40008,0,4709,652,2,B,47M45N02W02,X,2019,2019,312112,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592674,16696,136,42.7,4304.16,10080,10080,LB,86,A,28,A,1,2019-07-23,0800,47,M,45,N,02,W,10,AMIGOS,4719180150A,,,F,40008,0,4709,664,3,B,47M45N02W10,X,2019,2019,312124,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592742,16702,136,54.7,3938.4,7200,7200,LB,105,A,16,A,1,2019-08-06,1600,47,M,48,N,04,E,18,41884255,4719180150A,,,F,40008,0,4709,743,1,B,47M48N04E18,X,2019,2019,312139,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592670,16696,136,42.7,307.44,720,720,LB,42,A,2,A,1,2019-08-01,0800,47,M,45,N,02,W,02,DAIRYNW,4719180150A,,,F,40008,0,4709,660,1,B,47M45N02W02,X,2019,2019,312120,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592745,16702,136,54.7,49.23,90,90,LB,105,A,0.3,A,1,2019-08-09,0800,47,M,48,N,04,E,18,41884255,4719180150A,,,F,40008,0,4709,746,4,B,47M48N04E18,X,2019,2019,312142,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592859,16702,136,54.7,984.6,1800,1800,LB,86,A,5,A,1,2019-08-02,0800,47,M,45,N,02,W,10,AMIGOS,4719180150A,,,F,40008,0,4709,849,1,B,47M45N02W10,X,2019,2019,312162,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592818,16702,136,54.7,3839.94,7020,7020,LB,105,A,15.2,A,1,2019-09-06,0800,47,M,48,N,04,E,18,41884255,4719180150A,,,F,40008,0,4709,801,2,B,47M48N04E18,X,2019,2019,312152,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592671,16696,136,42.7,2613.24,6120,6120,LB,42,A,17,A,1,2019-08-01,0800,47,M,45,N,02,W,02,DAIRYNW,4719180150A,,,F,40008,0,4709,661,2,B,47M45N02W02,X,2019,2019,312121,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592669,16696,136,42.7,3074.4,7200,7200,LB,42,A,20,A,1,2019-07-31,0800,47,M,45,N,02,W,02,DAIRYNW,4719180150A,,,F,40008,0,4709,659,4,B,47M45N02W02,X,2019,2019,312119,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592675,16696,136,42.7,3843,9000,9000,LB,86,A,25,A,1,2019-07-25,0800,47,M,45,N,02,W,10,AMIGOS,4719180150A,,,F,40008,0,4709,665,4,B,47M45N02W10,X,2019,2019,312125,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592673,16696,136,42.7,768.6,1800,1800,LB,86,A,5,A,1,2019-07-22,0800,47,M,45,N,02,W,10,AMIGOS,4719180150A,,,F,40008,0,4709,663,2,B,47M45N02W10,X,2019,2019,312123,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592744,16702,136,54.7,4283.01,7830,7830,LB,105,A,16.65,A,1,2019-08-09,0800,47,M,48,N,04,E,18,41884255,4719180150A,,,F,40008,0,4709,745,3,B,47M48N04E18,X,2019,2019,312141,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592817,16702,136,54.7,98.46,180,180,LB,105,A,0.5,A,1,2019-09-09,0800,47,M,48,N,04,E,18,41884255,4719180150A,,,F,40008,0,4709,800,1,B,47M48N04E18,X,2019,2019,312151,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592743,16702,136,54.7,3938.4,7200,7200,LB,105,A,16,A,1,2019-08-07,0800,47,M,48,N,04,E,18,41884255,4719180150A,,,F,40008,0,4709,744,2,B,47M48N04E18,X,2019,2019,312140,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
4592668,16696,136,42.7,614.88,1440,1440,LB,42,A,4,A,1,2019-07-30,0800,47,M,45,N,02,W,02,DAIRYNW,4719180150A,,,F,40008,0,4709,658,3,B,47M45N02W02,X,2019,2019,312118,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
1017848,12412,573,92,13642.046764,14828.3117,1469.95,GA,35,A,32,A,1,2019-04-18,0600,50,M,02,S,08,E,26,1326A2,50195006687,,,F,3001,0,5050,109,1,B,50M02S08E26,X,2019,2019,49054,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3884691,47813,136,99,5.94,6,6,LB,27,A,6,U,1,2019-11-22,1000,50,M,02,S,10,E,17,B1,50193901026,,,F,3009,0,5011,417,8,B,50M02S10E17,X,2019,2020,246309,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3884699,47813,136,99,14.85,15,15,LB,42,A,15,U,1,2019-11-22,1000,50,M,02,S,10,E,19,A2,50193901026,,,F,3009,0,5011,425,7,B,50M02S10E19,X,2019,2020,246310,85,INVALID,,"Invalid Fumigation Code, Invalid AGOF/Fumigation Code combination or the Fumigation code is missing.",
3014680,46206,136,33.3,5067.2529414,15216.9758,1359,GA,97,A,5.4,A,1,2019-09-13,1100,56,S,02,N,21,W,36,12,561956c1045,,,F,1016,0,5613,35,1,A,56S02N21W36,X,2019,2019,176718,76,POSSIBLE,,"The pounds of AI per area treated exceeds the fixed1 limit or the mean use rate + 3SD, but does not exceed the fixed2 limit or the mean use rate + 10 SD.","Reported rate of use = 1,713 pounds AI per acre for 1,3-Dichloropropene; median rate of use in 2015 = 163 pounds AI per acre; rate > fixed1 limit"
3014680,46206,573,60.8,9251.9212864,15216.9758,1359,GA,97,A,5.4,A,1,2019-09-13,1100,56,S,02,N,21,W,36,12,561956c1045,,,F,1016,0,5613,35,1,A,56S02N21W36,X,2019,2019,176718,76,POSSIBLE,,"The pounds of AI per area treated exceeds the fixed1 limit or the mean use rate + 3SD, but does not exceed the fixed2 limit or the mean use rate + 10 SD.","Reported rate of use = 1,713 pounds AI per acre for 1,3-Dichloropropene; median rate of use in 2015 = 163 pounds AI per acre; rate > fixed1 limit"
4329407,34485,573,97.5,1378.2772575,1413.6177,139.1,GA,7,A,7,A,1,2020-08-01,1000,08,H,17,N,01,W,02,5,08210800010,,,F,40008,0,801,88,1,A,08H17N01W02,X,2020,2020,242053,47,INCONSISTENT,,area treated is greater than the area planted,
4329354,34485,573,97.5,2474.16117,2537.6012,249.7,GA,10.4,A,10.4,A,1,2020-08-05,0900,08,H,18,N,01,W,27,58,08210800010,,,G,40008,0,801,16,1,A,08H18N01W27,X,2020,2020,242040,47,INCONSISTENT,,area treated is greater than the area planted,
4329426,34485,573,97.5,3859.3743825,3958.3327,389.5,GA,17.1,A,17.1,A,1,2020-08-03,0930,08,H,18,N,01,W,05,107,08210800010,,,G,40008,0,801,107,1,A,08H18N01W05,X,2020,2020,242058,47,INCONSISTENT,,area treated is greater than the area planted,
4329408,34485,573,97.5,1844.9691975,1892.2761,186.2,GA,9,A,9,A,1,2020-08-12,0900,08,H,18,N,01,W,21,27,08210800010,,,F,40008,0,801,89,1,A,08H18N01W21,X,2020,2020,242054,47,INCONSISTENT,,area treated is greater than the area planted,
4329353,34485,573,97.5,2814.02394,2886.1784,284,GA,10,A,10,A,1,2020-08-11,0945,08,H,17,N,01,W,02,4,08210800010,,,F,40008,0,801,15,1,A,08H17N01W02,X,2020,2020,242039,47,INCONSISTENT,,area treated is greater than the area planted,
4329423,34485,573,97.5,4508.383425,4623.983,455,GA,16.2,A,16.2,A,1,2020-08-01,0900,08,H,18,N,01,W,26,M3,08210800011,,,F,40008,0,801,104,1,A,08H18N01W26,X,2020,2020,242057,47,INCONSISTENT,,area treated is greater than the area planted,
4329355,34485,573,97.5,1568.52111,1608.7396,158.3,GA,6.6,A,6.6,A,1,2020-08-03,0600,08,H,17,N,01,W,02,1,08210800010,,,G,40008,0,801,17,1,A,08H17N01W02,X,2020,2020,242041,47,INCONSISTENT,,area treated is greater than the area planted,
4329390,34485,573,97.5,1378.2772575,1413.6177,139.1,GA,5.8,A,5.8,A,1,2020-08-01,1000,08,H,17,N,01,W,02,5,08210800010,,,F,40008,0,801,36,1,A,08H17N01W02,X,2020,2020,242048,47,INCONSISTENT,,area treated is greater than the area planted,
4329376,34485,573,97.5,4375.609095,4487.8042,441.6,GA,18.4,A,18.4,A,1,2020-08-07,0820,08,H,18,N,01,W,21,39,08210800010,,,F,40008,0,801,57,1,A,08H18N01W21,X,2020,2020,242046,47,INCONSISTENT,,area treated is greater than the area planted,
4329356,34485,573,97.5,1844.9691975,1892.2761,186.2,GA,7.8,A,7.8,A,1,2020-08-12,0900,08,H,18,N,01,W,21,27,08210800010,,,F,40008,0,801,37,1,A,08H18N01W21,X,2020,2020,242042,47,INCONSISTENT,,area treated is greater than the area planted,
4329340,34485,573,97.5,4815.54801,4939.0236,486,GA,17.3,A,17.3,A,1,2020-08-04,1400,08,H,18,N,01,W,27,B7,08210800011,,,F,40008,0,801,2,1,A,08H18N01W27,X,2020,2020,242034,47,INCONSISTENT,,area treated is greater than the area planted,
4329452,34485,573,97.5,1844.9691975,1892.2761,186.2,GA,9,A,9,A,1,2020-08-11,1445,08,H,18,N,01,W,21,27,08210800010,,,G,40008,0,801,106,1,A,08H18N01W21,X,2020,2020,242061,47,INCONSISTENT,,area treated is greater than the area planted,
4329341,34485,573,97.5,3859.3743825,3958.3327,389.5,GA,17.1,A,17.1,A,1,2020-08-06,0645,08,H,18,N,01,W,05,107,08210800010,,,F,40008,0,801,3,1,A,08H18N01W05,X,2020,2020,242035,47,INCONSISTENT,,area treated is greater than the area planted,
4329394,34485,573,97.5,4375.609095,4487.8042,441.6,GA,18.4,A,18.4,A,1,2020-08-06,0820,08,H,18,N,01,W,21,39,08210800010,,,G,40008,0,801,75,1,A,08H18N01W21,X,2020,2020,242051,47,INCONSISTENT,,area treated is greater than the area planted,
4329377,34485,573,97.5,2814.02394,2886.1784,284,GA,10,A,10,A,1,2020-08-10,0945,08,H,17,N,01,W,02,4,08210800010,,,G,40008,0,801,58,1,A,08H17N01W02,X,2020,2020,242047,47,INCONSISTENT,,area treated is greater than the area planted,
4329428,34485,573,97.5,3849.4658475,3948.1701,388.5,GA,11.6,A,11.6,A,1,2020-07-28,0730,08,H,18,N,01,W,27,S5,08210800011,,,G,40008,0,801,109,1,A,08H18N01W27,X,2020,2020,242059,47,INCONSISTENT,,area treated is greater than the area planted,
4329357,34485,573,97.5,4280.48712,4390.2432,432,GA,18,A,18,A,1,2020-08-08,0600,08,H,18,N,01,W,21,23,08210800010,,,G,40008,0,801,38,1,A,08H18N01W21,X,2020,2020,242043,47,INCONSISTENT,,area treated is greater than the area planted,
4329352,34485,573,97.5,2474.16117,2537.6012,249.7,GA,10.4,A,10.4,A,1,2020-08-07,1145,08,H,18,N,01,W,27,58,08210800010,,,F,40008,0,801,14,1,A,08H18N01W27,X,2020,2020,242038,47,INCONSISTENT,,area treated is greater than the area planted,
4329343,34485,573,97.5,6766.5385125,6940.0395,682.9,GA,28.5,A,28.5,A,1,2020-07-31,1000,08,H,18,N,01,W,27,12,08210800010,,,G,40008,0,801,5,1,A,08H18N01W27,X,2020,2020,242037,47,INCONSISTENT,,area treated is greater than the area planted,
4329393,34485,573,97.5,6766.5385125,6940.0395,682.9,GA,28.5,A,28.5,A,1,2020-08-11,1400,08,H,18,N,01,W,27,12,08210800010,,,F,40008,0,801,74,1,A,08H18N01W27,X,2020,2020,242050,47,INCONSISTENT,,area treated is greater than the area planted,
4329358,34485,573,97.5,4815.54801,4939.0236,486,GA,17.3,A,17.3,A,1,2020-08-03,1015,08,H,18,N,01,W,27,B7,08210800011,,,G,40008,0,801,39,1,A,08H18N01W27,X,2020,2020,242044,47,INCONSISTENT,,area treated is greater than the area planted,
4329409,34485,573,97.5,1378.2772575,1413.6177,139.1,GA,7,A,7,A,1,2020-08-01,0650,08,H,17,N,01,W,02,5,08210800010,,,G,40008,0,801,90,1,A,08H17N01W02,X,2020,2020,242055,47,INCONSISTENT,,area treated is greater than the area planted,
4329342,34485,573,97.5,1568.52111,1608.7396,158.3,GA,6.6,A,6.6,A,1,2020-08-10,1445,08,H,17,N,01,W,02,1,08210800010,,,F,40008,0,801,4,1,A,08H17N01W02,X,2020,2020,242036,47,INCONSISTENT,,area treated is greater than the area planted,
4329392,34485,573,97.5,3162.8043525,3243.9019,319.2,GA,11.4,A,11.4,A,1,2020-08-07,1330,08,H,18,N,01,W,22,20C,08210800010,,,F,40008,0,801,73,1,A,08H18N01W22,X,2020,2020,242049,47,INCONSISTENT,,area treated is greater than the area planted,
4329395,34485,573,97.5,3162.8043525,3243.9019,319.2,GA,11.4,A,11.4,A,1,2020-07-31,1400,08,H,18,N,01,W,22,20C,08210800010,,,G,40008,0,801,76,1,A,08H18N01W22,X,2020,2020,242052,47,INCONSISTENT,,area treated is greater than the area planted,
4329371,34485,573,97.5,3849.4658475,3948.1701,388.5,GA,11.6,A,11.6,A,1,2020-07-28,1400,08,H,18,N,01,W,27,S5,08210800011,,,F,40008,0,801,52,1,A,08H18N01W27,X,2020,2020,242045,47,INCONSISTENT,,area treated is greater than the area planted,
4329338,34485,573,97.5,4280.48712,4390.2432,432,GA,18,A,18,A,1,2020-08-10,0830,08,H,18,N,01,W,21,23,08210800010,,,F,40008,0,801,35,1,A,08H18N01W21,X,2020,2020,242033,47,INCONSISTENT,,area treated is greater than the area planted,
4329410,34485,573,97.5,4508.383425,4623.983,455,GA,16.2,A,16.2,A,1,2020-07-31,0700,08,H,18,N,01,W,26,M3,08210800011,,,G,40008,0,801,91,1,A,08H18N01W26,X,2020,2020,242056,47,INCONSISTENT,,area treated is greater than the area planted,
4329440,34485,573,97.5,1844.9691975,1892.2761,186.2,GA,7.8,A,7.8,A,1,2020-08-11,0900,08,H,18,N,01,W,21,27,08210800010,,,G,40008,0,801,121,1,A,08H18N01W21,X,2020,2020,242060,47,INCONSISTENT,,area treated is greater than the area planted,
